EQUIP_ID;EQUIP_NOM;ADRESSE;EQUIP_WEB_LIEN;DOMAINE_NOM;SOUSDOM_NOM;ADRESSE_ID;TELEPHONE;COURRIEL;HORAIRE;DESCRIPTION;INFO_SUPP
806;Ecole maternelle Montessori;68 Rue des Eaux Claires;www.aidemoiafaireseul.fr/;Education;Ecoles primaires privées;1927;04 76 21 27 54;;;;
2841;Menon Bureau 1 à 2;9 Rue Hébert;;Institutions et Services Publics;Bureaux de vote;3509;;;;;
235;Ecole élémentaire Menon;9 Rue Hébert;;Education;Ecoles élémentaires;3509;04 76 42 70 69;;;;
273;Ecole maternelle Les Frênes;16 Allée des Frênes;;Education;Ecoles maternelles;2815;04 76 22 79 70;;;;
866;Gymnase Les Trembles;16 Allée des Frênes;;Sports et Loisirs;Centres sportifs et gymnases;2815;04 76 22 79 80;;Ouvert de 8h à 22h.;<p>Equipement accessible aux personnes à mobilité réduite.</p>;
1383;EAJE Les Frênes;16 Allée des Frênes;;Petite Enfance;Espaces Petite Enfance municipaux;2815;04 38 12 07 09;;De 8h15 à 12h15 et de 13h15 à 17h15 du lundi au vendredi.;Accueil régulier à temps plein et à temps partiel. Capacité d'accueil : 35 enfants.;
585;Stade Porte Villeneuve;68 Avenue La Bruyère;;Sports et Loisirs;Stades;5812;04 76 09 72 11;;;<p>Stade de foot en synthétique.</p>;
1600;Relais Assistantes Maternelles des Eaux-Claires;31 Rue Joseph Bouchayer;;Petite Enfance;Relais Assistantes Maternelles;5487;04 76 96 99 19;rameaux@ccas-grenoble.fr;;<p>Permanence téléphonique le mercredi de 12h30 à 15h.</p>;
816;Agence pour l'accueil des étrangers et immigrants;76 Rue des Alliés;;Institutions et Services Publics;Administrations et services locaux;4470;;;;;
792;Douches Municipales;5 Rue des Minimes;;Solidarité;Services à la personne;8107;;;Du lundi au vendredi de 8h30 à 12h00 et de 14h30 à 18h00.;<p>Tarifs : Douche adulte : 0,50€ - Serviette : 0,30€ - Savonnette : 0,10€ - Shampoing : 0,10€. Douche gratuite pour les moins de 16 ans.</p>;
660;Office de Tourisme de Grenoble;14 Rue de la République;www.grenoble-tourisme.com;Institutions et Services Publics;Tourisme et congrès;9714;04 76 42 41 41;welcome@grenoble-toursime.com;Du 2 mai au 30 septembre : Du lundi au samedi, de 9h à 19h. Dimanche et jours fériés, de 9h à 12h. Du 1er octobre au 30 avril : Lundi, de 13h à 18h. Du mardi au samedi, de 9h à 18h. Dimanche et jours fériés, de 9h à 12h. L'Office de Tourisme est fermé le 1er mai, le 25 décembre et le 1er janvier.;<p>Organise et guide vos programmes touristiques et culturels à travers de nombreuses visites thématiques. Equipement accessible aux personnes à mobilité réduite. Contrat de tourisme adapté - Périmètre de tourisme adapté. Accès à l'auditorium via l'escalier extérieur.</p> <h4>Pour connaitre toutes les activités proposées par l'Office de Tourisme, <a id=\925\ href=\#\ title=\Office de Tourisme de Grenoble\ ancre=\\ typelien=\LienExterne\ libelle_ancre=\\>rendez-vous sur leur site internet.</a></h4>;
236;Ecole élémentaire Nicolas Chorier;23 Rue Nicolas Chorier;;Education;Ecoles élémentaires;8495;04 76 96 18 41;;;;
2820;Hoche Bureau 1 à 3;21 Rue Auguste Ravier;;Institutions et Services Publics;Bureaux de vote;10993;;;;;
151;Parking couvert Europole-Gare;2 Avenue Doyen Louis Weil;www.resaplace.com;Déplacement et Stationnement;Parkings;6851;08 25 88 88 26;;Accessibilité et accueil : 24h/24;<p>Nombre de places : 615 places - Hauteur limite : 2.20 m</p>;
708;Halte-Garderie et Mini-Crèche Parentale Les Loupiots;10 Rue de la Station Ponsard;;Petite Enfance;Espaces Petite Enfance non municipaux;10572;04 76 44 35 74;;;Structure d'accueil Petite Enfance gérée par l'association AUESC Bajatière. Capacité d'accueil : 18 enfants.;
1386;Parking Cèdres;23 Rue Anthoard;www.resaplace.com;Déplacement et Stationnement;Parkings;8324;08 25 88 88 26;;Accessibilité 24h/24;<p>Nombre de place : 77 places - Hauteur limite : 1,90m </p>;
197;Marché Place aux Herbes;2 Place aux Herbes;;Marchés et Brocantes;Marchés;3699;;;Du mardi au samedi de 6h à 13h, le dimanche de 6h à 13h30. Le vendredi de 15h à 20h. ;<p>Produits alimentaires. Le vendredi, marché des montagnes de l'Isère (producteurs locaux).</p>;
480;EAJE Abbé Grégoire;94 Rue Abbé Grégoire;;Petite Enfance;Espaces Petite Enfance municipaux;8045;04 76 48 97 28;cf.saint-bruno@ccas-grenoble.fr;De 7h à 19h du lundi au vendredi pour l'accueil régulier familial. De 8h30 à 12h du lundi au vendredi pour l'accueil occasionnel collectif.;Accueil régulier familial à temps plein et à temps partiel (80%-50%). Accueil régulier et occasionnel collectif. Capacité 60 places.;
776;Caserne des pompiers Morard;4 Avenue Félix Viallet;;Institutions et Services Publics;Sécurité;2583;;;;;
1426;Terrain multisports Mistral;12 BIS Rue Albert Thomas;;Sports et Loisirs;Terrains multisport de plein air;16365;04 76 23 48 00;;Accés libre.;<p>Terrain multisports.</p>;
5;Préfecture de l'Isère;12 Place de Verdun;www.isere.pref.gouv.fr;Institutions et Services Publics;Administrations et services locaux;11186;04 76 60 34 64 08 21 80 30 38 01 2;;Bureaux des droits de conduire, de la réglementation, des élections et des étrangers : du lundi au vendredi de 9h à 15h30 Bureaux des cartes grises : lundi, mardi, jeudi et vendredi de 9h à 15h30 Les autres services : du lundi au vendredi de 9h à 11h45 et de 13h45 à 15h30;<p>Accès par transport en communs :<br>-Tram A, arrêt Verdun Préfecture<br>-Lignes 16, 21, 31, 32, 33, 41</p> <p>Parking à proximité : Parking Verdun-Préfecture</p> <p><strong>Pour les associations uniquement :<br></strong>Coordonnées du greffe des Associations :<br>Direction départementale de la Cohésion Sociale<br>11, avenue Paul Verlaine - BP 2428 - 38034 GRENOBLE CEDEX 2<br>Tél : 04 57 38 65 19<br>Horaires d'ouverture : lundi, mardi, jeudi, vendredi de 13h45 à 16h30 et mercredi de 10h à 12h et de 13h45 à 16h30</p>;
319;Collège Olympique;18 Avenue Marie Reynoard;;Education;Enseignement secondaire public;7584;04 76 33 24 50;;;;
2006;Baladins Bureau 1 à 3;10 Allée des Frênes;;Institutions et Services Publics;Bureaux de vote;2821;;;8h - 20h;;
2030;Jean Jaurès Bureau 1;2 Rue Jay;;Institutions et Services Publics;Bureaux de vote;3952;;;8h - 20h;;
260;Ecole maternelle Jean Jaurès;2 Rue Jay;http://jeanjaures-grenoble.fr/maternelle/;Education;Ecoles maternelles;3952;04 76 87 95 78;;;;
1381;EAJE Bizanet;51 BIS Avenue Maréchal Randon;;Petite Enfance;Espaces Petite Enfance municipaux;13048;04 76 42 04 46;;;Accueil collectif régulier et occasionnel (33 places);
1002;Square Lachat;41 Boulevard Clémenceau;;Espaces verts et nature;Squares;1179;;;;;
900;Terrains de tennis les Artilleurs;13 Rue des Artilleurs de Montagne;;Sports et Loisirs;Terrains de tennis;9865;04 76 23 48 00;;;<p>Deux courts de tennis en plein air.</p>;
1424;Terrain de basket Les Artilleurs;13 Rue des Artilleurs de Montagne;;Sports et Loisirs;Terrains multisport de plein air;9865;04 76 23 48 00;antonio.gallego@ville-grenoble.fr;Acces libre.;<p>Terrain de basket ball.</p>;
890;Théâtre des Peupliers;2 Rue des Trembles;;Culture;Théâtres et salles de spectacle;10853;04 76 29 10 92;;Permanence le lundi matin pour les réservations de la salle de répétition. ;<p>Un espace de répétitions<br>Le théâtre des Peupliers abrite les bureaux des associations Athéca, Dédicaces, La Transparence, Made In théâtre, 7 Familles et La Saillie. Celles-ci gèrent le planning de la salle de répétition dont peuvent bénéficier les équipes artistiques pour leur travail de création.</p>;
2028;Ile Verte Bureau 1;10 Rue Aimon de Chissé;;Institutions et Services Publics;Bureaux de vote;1254;;;8h - 20h;;
281;Ecole maternelle Paul Bert;10 Rue Aimon de Chissé;;Education;Ecoles maternelles;1254;;;;;
279;Ecole maternelle Millet;11 Rue Millet;;Education;Ecoles maternelles;8105;04 76 87 80 66;;;;
1450;Terrain mini foot Jean Macé;14 Rue Henri Tarze;;Sports et Loisirs;Terrains multisport de plein air;3663;;;;;
10;Direction des Services Fiscaux;9 Boulevard Joseph Vallier;www.isere.pref.gouv.fr/sections/letat_en_isere/les_services_de_let/finances/direction_des_ser;Institutions et Services Publics;Impôts;5625;04 76 70 85 85;;;;
100;Bibliothèque Hauquelin;59 Avenue Maréchal Randon;www.bm-grenoble.fr;Culture;Bibliothèques;7506;04 76 42 48 06;bm.hauquelin@bm-grenoble.fr;Mardi: 16h-18h Mercredi: 9h30-12h et 14h-17h Vendredi: 16h-18h Samedi : 10h-12h30 Vacances scolaires : Mardi, mercredi, vendredi et samedi 10h-12h30 Fermeture le samedi de Pâques et 3 semaines en Août.;"<p><span style=\background-color: #ffffff;\>Pour enfants et adolescents.</span></p> <ul> <li>Livres, presse, livres audio.</li> <li>Consultation d'Internet (1 poste).</li> <li>Salle d'animation pour expositions, rencontres, lectures et contes.</li> <li>Accueil de classes et de groupes sur rendez-vous.</li> </ul> <p>Tram : B, arrêt Notre-Dame. <br>Bus : ligne 16. <br>Parkings payants à proximité.</p>";
106;Bibliothèque Saint-Bruno;8 Place Saint Bruno;www.bm-grenoble.fr;Culture;Bibliothèques;10015;04 76 96 82 95;bm.sbruno@bm-grenoble.fr;Mardi: 15h-19h Mercredi: 10h-12h et 14h-18h Vendredi: 13h-19h Samedi: 10h-12h30 et 14h-17h Vacances scolaires:  Mardi : 15h-19h Mercredi: 10h-12h et 14h-18h Vendredi: 13h-19h Samedi: 10h-12h30. Fermeture le samedi de Pâques.;"<h4 style=\text-align: justify;\><strong>Attention : travaux à Saint-Bruno !</strong></h4> <p style=\text-align: justify;\><strong>du mardi 23 décembre 2014 au samedi 21 février 2015 inclus, </strong>la bibliothèque Saint-Bruno sera fermée au public en raison d’importants travaux (remplacement de la banque d’accueil).</p> <p style=\text-align: justify;\>Pendant la fermeture, vous pouvez :<br>&gt; emprunter et rendre vos documents dans les autres bibliothèques du réseau (la boite de retour de Saint-Bruno sera fermée)<br>&gt; conserver les documents empruntés à la bibliothèque Saint-Bruno jusqu’à sa réouverture<br>&gt; emprunter des documents dans le bibliobus qui sera garé devant la bibliothèque</p> <p style=\text-align: center;\>mardi 30 décembre <br>mardi 6 janvier <br>mardi 13 janvier <br>mardi 20 janvier<br>mardi 27 janvier<br>mardi 3 février<br>mardi 10 février<br>de 16h à 18h</p> <hr> <p>Tout public.</p> <ul> <li>Livres, presse, livres en gros caractères, CD, livres audio.</li> <li>1 poste d'écoute CD.</li> <li>Expositions, rencontres, lectures et contes.</li> <li>Accueil de groupes, sur rendez-vous.</li> <li>Club lecture : \sous la couverture\</li> <li>Consultation d'Internet (4 postes).</li> <li>Accès à Internet sur micro-ordinateur personnel par réseau Wi-Fi.</li> </ul> <p>Tram : A et B, arrêt Saint-Bruno.<br>Bus : ligne 12</p> <p><object wbt_code=\.$WBT_CODE.\ id=\WBT_VIDEOEXTERNE_15060_none\ class=\mceItemVideoExterne\  width=\480\ height=\270\ align=\none\></object></p>";
1257;Stade du Vercors;20 Chemin de la Poterne;;Sports et Loisirs;Stades;9347;04 76 62 92 13;;8h-22h la semaine et rencontres de football le week-end.;<p>Construit en 1972, accessibilité handicapés, terrain gazon, terrain synthétique,terrain de mini foot, blocs sanitaires. Club résident : GF 38, équipe professionnelle de foot et centre de formation.</p>;
217;Ecole élémentaire Houille Blanche;7 Rue de la Houille Blanche;www.ac-grenoble.fr/ecole/houille.blanche/;Education;Ecoles élémentaires;3765;04 76 96 51 75;;;;
152;Parking couvert Hoche;3 Rue François Raoult;www.vincipark.com;Déplacement et Stationnement;Parkings;2778;04 76 43 08 63;;Accessibilité : 24h/24. Accueil : 8h30-12h30 et 13h30-19h du lundi au vendredi.;<p>677 places.</p>;
1398;Clinique d'Alembert;122 Rue d'Alembert;;Santé;Hôpitaux et cliniques;1695;;;;;
2815;Lucie Aubrac Bureau 1 à 2;4 Rue Henri Ding;;Institutions et Services Publics;Bureaux de vote;12361;;;;;
1195;Ecole élémentaire Lucie Aubrac;4 Rue Henri Ding;www.ac-grenoble.fr/eclesdig;Education;Ecoles élémentaires;12361;04 76 46 33 34;;;"<p>Cette école élémentaire de 15 classes a été pensée selon une approche bioclimatique. Elle est dotée d'une enveloppe performante et d'équipements économes. Elle s'intègre en harmonie avec les éléments de son environnement ; le Jardin Hoche et l'ancienne caserne de Bonne.</p>";
898;Terrain multisports Reyniès Bayard;8 BIS Rue Léo Lagrange;;Sports et Loisirs;Terrains multisport de plein air;6094;04 76 23 48 00;;;;
233;Ecole élémentaire Libération;203 Cours de la Libération et du Général de Gaulle;;Education;Ecoles élémentaires;6509;04 76 09 24 51;;;;
1427;Plateau EPS Libération;203 Cours de la Libération et du Général de Gaulle;;Sports et Loisirs;Terrains multisport de plein air;6509;;philippe.meillere@ville-grenoble.fr;Accés libre.;<p>Plateau EPS.</p>;
349;Déchetterie Jouhaux;61 TER Rue Léon Jouhaux;;Institutions et Services Publics;Déchetteries;6276;04 38 49 80 40 04 76 33 68 05;;Du lundi au samedi : 8h45-12h et 14h-18h30.;;
214;Ecole élémentaire Elisée Chatin;25 Rue Le Brix;;Education;Ecoles élémentaires;6056;04 76 46 58 29;;;;
60;Hôtel de Police;36 Boulevard Maréchal Leclerc;;Institutions et Services Publics;Sécurité;7464;04 76 60 40 40;;;;
555;Maison de l'Enfance Teisseire;4 Rue Gaston Letonnelier;;Sports et Loisirs;Equipements socioculturels;12180;04 76 25 08 07;meteisseire@wanadoo.fr;Pour les renseignements et les inscriptions : le lundi de 13h30 à 14h30, le mardi de 13h30 à 18h, le mercredi de 8h30 à 11h30 et le jeudi de 13h30 à 15h.;<p>Petite enfance. Enfance.</p> <p>Accès : lignes 26 et 34 arrêt André argouges ou Paul Cocat</p>;
1372;Ecole primaire Loubavitch;10 Rue Lazare Carnot;;Education;Ecoles primaires privées;6035;04 76 43 38 58;;;;
1328;Phelma Minatec;3 Parvis Louis Néel;phelma.grenoble-inp.fr/;Education;Enseignement supérieur;12081;04 56 52 91 00;;;;
671;Centre de Santé Mistral / Eaux-Claires;80 Rue Anatole France;;Santé;Centres de santé;6198;04 76 21 40 41;;Du lundi au vendredi de 8h30 à 12h30 et de 14h à 19h. Samedi de 8h30 à 12h30.;Consultations de médecins généralistes, kinésithérapeutes et orthophonistes. Soins infirmiers. Planning familial. Equipement accessible aux personnes à mobilité réduite.;
186;Marché Cours de la Libération;78 Cours de la Libération et du Général de Gaulle;;Marchés et Brocantes;Marchés;6637;;;Vendredi et samedi de 6h à 13h.;<p>Produits alimentaires et produits manufacturés.</p>;
669;Direction Départementale de l'Action Sanitaire et Sociale;17 Rue du Commandant L'Herminier;;Solidarité;Administrations sociales;1399;04 76 63 64 29;;;;
371;Square Buffon;3 Rue Cuvier;;Espaces verts et nature;Squares;4146;;;;;
491;EAJE Chapi Chapo;4 Rue Louis Lachenal;;Petite Enfance;Espaces Petite Enfance municipaux;6828;04 76 09 79 83;hg.chapi-chapo@ccas-grenoble.fr;De 8h à 17h du lundi au vendredi pour l'accueil régulier. De 8h30 à 12h et de 13h30 à 17h du lundi au vendredi pour l'accueil occasionnel.;Multi accueil : accueil occasionnel et régulier. Capacité d'accueil : 30 enfants.;
1395;Ludothèque Chapi Chapo;4 Rue Louis Lachenal;;Petite Enfance;Lieu d'accueil parents-enfants;6828;04 76 09 79 83;;;<p>Lieu d'accueil parents-enfants</p>;
2007;Bauvert Bureau 1 à 2;5 Avenue Léon Blum;;Institutions et Services Publics;Bureaux de vote;6115;;;8h - 20h;;
608;Terrain de boules Les Alpins;5 Avenue Léon Blum;;Sports et Loisirs;Terrains de boules;6115;04 76 23 48 00;;;;
869;Terrain multisports Village Olympique;14 Rue Giusto Gervasutti;;Sports et Loisirs;Terrains multisport de plein air;3410;04 76 23 48 00;;;<p>Mini terrain de foot et mini terrain de basket rue Aimé Pupin et mini terrain de foot 14 rue Maurice Dodero.</p>;
886;Stade Village Olympique;16 BIS Avenue Marie Reynoard;;Sports et Loisirs;Stades;7608;04 76 23 48 00;;;<p>Terrain de foot en stabilisé.</p>;
354;Jardin des Dauphins;24 Quai de France;;Espaces verts et nature;Parcs et Jardins;2701;;;;<p>Aire de jeux. Arbres remarquables.</p>;
2862;Village Olympique Bureau 1 à 3;1 Rue Giusto Gervasutti;;Institutions et Services Publics;Bureaux de vote;3412;;;;;
226;Ecole élémentaire Le Verderet;1 Rue Giusto Gervasutti;;Education;Ecoles élémentaires;3412;04 76 09 04 82;;;<p>Equipement accessible aux personnes à mobilité réduite.</p>;
784;Appartement natal de Stendhal;14 Rue Jean Jacques Rousseau;;Institutions et Services Publics;Services municipaux;4903;;;;"<h5 style=\text-align: justify;\><strong>En hommage au caractère précurseur de Stendhal en littérature, la Ville a souhaité créer en 2002 dans cet appartement symbolique un lieu vivant attaché à la lecture et à l'écriture, animé par la Bibliothèque municipale. Le projet architectural a donc privilégié une utilisation fonctionnelle du lieu : salle de réunion, salles d'activité, bureaux…</strong></h5> <p style=\text-align: justify;\> </p> <p style=\text-align: justify;\>L'équipe du Printemps du livre de Grenoble, manifestation littéraire annuelle, fait vivre ce lieu au quotidien et lui permet de remplir sa vocation : créer des événements littéraires, accueillir des projets d'écrivains, mettre en place des activités pour le public (cercles de lecteurs, ateliers d'écriture, réunions de l'association Stendhal, ateliers pédagogiques Stendhal…). </p> <p style=\text-align: justify;\>Dépeint par Stendhal dans sa <em>Vie de Henry Brulard</em>, cet appartement, typique de l'habitat bourgeois du vieux Grenoble du XVIII<sup>ème</sup> siècle, appartenait à la famille de Chérubin Beyle, père de Stendhal, depuis plusieurs générations. Pour le petit Henri, ce lieu a été synonyme de bonheur jusqu'au décès de sa mère Henriette. Il devient ensuite surtout un lieu d'études où il subit le joug austère de son précepteur l'abbé Raillane. C'est dans le salon de compagnie qui donnait sur la rue des Vieux Jésuites qu'à 12 ou 13 ans il écrit <em>Selmours</em>, son premier essai littéraire.</p>";
2361;MC2  (Maison de la Culture);4 Rue Paul Claudel;www.mc2grenoble.fr;Culture;Théâtres et salles de spectacle;8813;04 76 00 79 00;billetterie@mc2grenoble.fr;La billetterie vous accueille : Du mardi au vendredi de 12h30 à 19h Le samedi de 14h à 19h Le dimanche et le lundi une heure avant le début des représentations;;
1722;Centre Chorégraphique National de Grenoble;4 Rue Paul Claudel;www.gallotta-danse.fr;Culture;Lieux d'enseignement artistique;8813;04 76 00 79 80;ccng@ccng.fr;;<p><img src=\/uploads/Image/5a/IMF_GRANDE/3535_167_jc_gallotta.jpg\ alt=\Jean-Claude Gallotta\ align=\left\ idtf=\3535\ format=\IMF_GRANDE\ popup=\1\ legende=\Jean-Claude Gallotta\></p> <p><strong>Dirigé par Jean-Claude Gallotta, le CCN de Grenoble, installé dans les murs de la MC2, répond à une double logique d'implantation : « inscrire la danse dans un dialogue, dans un double mouvement, entre son territoire local et régional et les grandes scènes nationales et internationales ».</strong></p> <p>A partir des chorégraphies qu'il présente en France et dans le monde depuis 30 ans (une soixantaine de pièces, de Ulysse, Daphnis et Chloé, Mammame, Yves P., Docteur Labus dans les années 80, à 99 duos, Trois générations, Des Gens qui dansent, Cher Ulysse, l'Homme à tête de chou dans les années 2000), le CCN se donne pour mission de travailler à l'extension du domaine de la danse, à la rencontre d'autres continents (notamment en Asie, avec laquelle il a des attaches particulières) et au devant des publics à conquérir dans son territoire immédiat, qu'il s'agisse des petites localités de l'Isère et des départements limitrophes, des espaces de jeu inventés pour l'occasion (places de villages, salles polyvalentes...). <br><br>Au fil du temps, les fonctions du CCN se sont élargies : formation, suivi de danseurs en voie de professionnalisation, accueil-studio, soutiens aux jeunes compagnies, action culturelle, cours réguliers d'entraînement du danseur, ateliers amateurs, travail sur l'image, production de courts-métrages vidéos...</p>;
132;Centre Dramatique National des Alpes;4 Rue Paul Claudel;www.cdna.fr;Culture;Théâtres et salles de spectacle;8813;04 76 00 79 70;contact@cdna.fr;;<p>La particularité de cette structure est de s'inscrire au sein de la <a id=\TPL_LIEU\ href=\#\ ancre=\135\ typelien=\LienTemplate\ libelle_ancre=\MC2 (Maison de la Culture) (135)\>MC2 : Grenoble</a> dirigée par Michel Orier et de cohabiter avec deux autres centres de créations : le Centre Chorégraphique National de Grenoble dirigé par Jean-Claude Gallotta et les Musiciens du Louvre dirigé par Marc Minkowski. Cet ensemble constitue un pôle culturel exceptionnel d'une grande richesse artistique.</p> <p>Le CDNA jouit en outre d'un outil remarquable : une salle de répétition, des ateliers décors et costumes qui lui permet d'assumer ses créations de bout en bout.</p>;
1265;Collège Vercors;11 Rue André Argouges;;Education;Enseignement secondaire public;6970;04 76 44 58 55;;;;
1566;La Bobine;42 Boulevard Clémenceau;www.labobine.net;Culture;Théâtres et salles de spectacle;14705;04 76 70 37 58;;;<p>La Bobine est un lieu géré  de manière associative. Depuis 5 ans elle programme des groupes découvertes ou émergents et soutient des projets artistiques (production d'album, management et organisation de tournées)... Elle accueille aussi une programmation jeune public, des apéros-concerts dédiés à la scène locale, des expositions, et des structures partenaires proposant du tango, du slam, des projections de documentaires, des soirées DJ, des matchs d'impro... Chaque évènement est concocté par des commissions de bénévoles.       </p> <p>Dans ses nouveaux locaux du parc Mistral, vous retrouverez :  <br>- une salle de spectacles de 300 places <br>- quatre studios de répétition dont 1 équipé d'une régie   <br>- un studio d'enregistrement (avec 2 cabines de prises et la régie)  <br>- un restaurant    <br>- un bar   <br>- un service de restauration du spectacle, \Cuisine et Dépendance\.</p>;
289;Ecole élémentaire Montessori;75 Avenue Jean Perrot;www.aidemoiafaireseul.fr/;Education;Ecoles primaires privées;5146;04 76 21 27 54;;;;
1378;Collège Montessori;75 Avenue Jean Perrot;;Education;Enseignement secondaire privé;5146;04 76 15 21 90;;;;
322;Lycée André Argouges;61 Rue Léon Jouhaux;www.ac-grenoble.fr/argouges/;Education;Enseignement secondaire public;6258;04 76 44 48 05;;;<p>Enseignement général et technologique.</p>;
323;Lycée Champollion;1 Cours La Fontaine;www.ac-grenoble.fr/champo/;Education;Enseignement secondaire public;5888;04 76 85 59 59;;;Enseignement général.;
523;Centre Sportif Berthe de Boissieux;10 Rue Berthe de Boissieux;;Sports et Loisirs;Centres sportifs et gymnases;12001;04 76 46 22 11;;;<p>Construit en 1934, cet équipement se compose de trois niveaux. Les disciplines pratiquées sont:Escalade, Gymnastique d'entretien, Arts martiaux, Yoga, Badminton, Volley ball, Tennis de table, Boxe.</p>;
780;Parc Léon Moret;4 Place Saint Laurent;;Espaces verts et nature;Parcs et Jardins;10129;;;;;
1530;Salle Juliet Berto;1 Passage du Palais de Justice;;Culture;Cinémas, photos et audiovisuel;8641;04 76 54 03 08;;;<p>Salle municipale de 190 places, la salle Juliet Berto accueille les projections organisées par la Cinémathèque de Grenoble, le Centre Culturel Cinématographique, mais aussi des séances de cinéma ou des conférences à caractère culturel organisées par diverses associations. <br><br>Pour pouvoir réserver la salle, veuillez prendre contact avec le Théâtre municipal de Grenoble au 04 76 44 03 44.</p>;
516;Clinique du Mail;43 Avenue Marie Reynoard;;Santé;Hôpitaux et cliniques;7598;04 76 33 55 45;;;;
161;Métrovélo Gare;9 Place de la Gare;;Déplacement et Stationnement;Transports;4603;;http://www.metrovelo.fr/;;;
160;Gare SNCF;9 Place de la Gare;;Déplacement et Stationnement;Transports;4603;;http://www.sncf.com;08 92 35 35 35;;
61;Police Municipale;21 Rue Lesdiguières;;Institutions et Services Publics;Sécurité;6433;04 76 46 74 97;;Accueil du public : du lundi au vendredi de 8h30 à 17h.Accueil téléphonique : - Du 1er novembre au 31 mars:Le lundi de 7h45 à 20h50, du mardi au samedi de 7h45 à 23h50, le dimanche de 6h10 à 19h50.- Du 1er avril au 31 octobre:Le lundi de 7h45 à 20h50, du mardi au samedi de 7h45 à 1h50, le dimanche de 6h10 à 20h50.;;
1529;Les Objets Trouvés;21 Rue Lesdiguières;;Institutions et Services Publics;Services municipaux;6433;04 76 46 74 97;;Ouvert du lundi au vendredi de 8h30 à 17h. Fermé samedi et dimanche ainsi que les jours fériés.;<p>Ce service rattaché à la police municipale recueille les objets trouvés et déposés dans les lieux suivants : <br>- Semitag<br>- La Poste<br>- L'hôtel de police<br>- Les cinémas<br>- Les piscines municipales<br><strong>Pour toute récupération d'objet, un justificatif de votre identité sera exigé.</strong></p>;
1431;Terrain de basket Léon Jouhaux;17 Rue Émile Romanet;;Sports et Loisirs;Terrains multisport de plein air;14526;04 76 23 48 00;antonio.gallego@ville-grenoble.fr;;;
1430;Terrain de football Léon Jouhaux;17 Rue Émile Romanet;;Sports et Loisirs;Terrains multisport de plein air;14526;04 76 23 48 00;antonio.gallego@ville-grenoble.fr;;<p>Stade de football en plein air.</p>;
222;Ecole élémentaire Joseph Vallier;44 BIS Rue Ampère;;Education;Ecoles élémentaires;5962;04 76 96 52 99;;;;
474;EAJE Marie Curie;33 BIS Rue Joseph Chanrion;;Petite Enfance;Espaces Petite Enfance municipaux;5525;04 76 42 58 13;cc.marie-curie@ccas-grenoble.fr;De 7h à 19h du lundi au vendredi.;Accueil régulier à temps plein et à temps partiel. Capacité d'accueil : 60 enfants en accueil collectif, 6 places en accueil familial.;
586;Stade Lesdiguières;10 Rue Albert Reynier;;Sports et Loisirs;Stades;4110;04 76 96 43 97;;Evénementiels.;<p>Terrain de football et de rugby.</p> <p>Accès aux handicapés,  blocs sanitaires.</p>;
999;Parc de l'Alliance;92 Rue de Stalingrad;;Espaces verts et nature;Parcs et Jardins;10471;;;;<p>Aire de jeux.</p>;
231;Ecole élémentaire Les Trembles;8 Allée des Frênes;;Education;Ecoles élémentaires;2822;04 76 22 79 61;;;;
358;Parc Ampère Vallier;50 Rue Ampère;;Espaces verts et nature;Parcs et Jardins;5974;;;;;
685;Terrain de boules Catane Ampère Vallier;50 Rue Ampère;;Sports et Loisirs;Terrains de boules;5974;;;Accés libre.;;
378;Square Georges Drevet;52 Cours de la Libération et du Général de Gaulle;;Espaces verts et nature;Squares;6541;;;;Aire de jeux. Arbres remarquables.;
2027;Houille Blanche Bureau 1 à 2;28 Rue Anatole France;;Institutions et Services Publics;Bureaux de vote;6205;;;8h - 20h;;
536;Gymnase Houille Blanche;28 Rue Anatole France;;Sports et Loisirs;Centres sportifs et gymnases;6205;04 76 96 16 62;;Ouvert de 8h à 22h.;<p>Accessibilité handicapés, salle omnisports (basket-ball et hand-ball), sanitaires.</p>;
194;Marché Hoche;1 Place André Malraux;;Marchés et Brocantes;Marchés;7489;;;Samedi de 7h à 13h.;Produits alimentaires (traditionnels et bios) et artisanat.;
183;Brocante Hoche;1 Place André Malraux;;Marchés et Brocantes;Brocantes, braderie et fêtes;7489;04 76 76 37 75;;1er samedi de chaque mois de 7h à 17h.;<p>Réservée aux professionnels.</p>;
164;Chambre de Commerce et d'Industrie;1 Place André Malraux;www.grenoble.cci.fr;Institutions et Services Publics;Economie et emploi;7489;04 76 28 28 28;ccig@grenoble.cci.fr;;;
